epoch, wall, LR,training_loss_e,training_loss,training_e/N_mae,validation_loss_e,validation_loss,validation_e/N_mae
       176, 9359.612,    0.005,       7.7379e-06,       7.7379e-06,     3.72e-05,       7.9593e-07,       7.9593e-07,     1.16e-05
       177, 9414.671,    0.005,       7.7004e-06,       7.7004e-06,     3.61e-05,       9.0794e-07,       9.0794e-07,     1.23e-05
       178, 9469.412,    0.005,       3.9352e-06,       3.9352e-06,     2.61e-05,       8.6704e-07,       8.6704e-07,     1.19e-05
       179, 9524.736,    0.005,        3.948e-06,        3.948e-06,     2.54e-05,       8.3311e-07,       8.3311e-07,     1.19e-05
       180, 9579.736,    0.005,       2.4998e-06,       2.4998e-06,      2.1e-05,        8.434e-07,        8.434e-07,      1.2e-05
       181, 9635.002,    0.005,       2.5879e-06,       2.5879e-06,     2.13e-05,       7.6326e-07,       7.6326e-07,     1.13e-05
       182, 9690.087,    0.005,        3.485e-06,        3.485e-06,     2.36e-05,       7.8977e-07,       7.8977e-07,     1.13e-05
       183, 9744.927,    0.005,       5.3346e-06,       5.3346e-06,     2.97e-05,       8.6914e-07,       8.6914e-07,     1.23e-05
       184, 9800.084,    0.005,       3.9916e-06,       3.9916e-06,     2.61e-05,       8.5414e-07,       8.5414e-07,     1.24e-05
       185, 9855.183,    0.005,       2.9775e-06,       2.9775e-06,     2.21e-05,       7.5879e-07,       7.5879e-07,     1.14e-05
       186, 9910.235,    0.005,       6.7945e-06,       6.7945e-06,     3.37e-05,       8.4017e-07,       8.4017e-07,     1.22e-05
       187, 9965.284,    0.005,        4.067e-06,        4.067e-06,     2.54e-05,       8.1871e-07,       8.1871e-07,      1.2e-05
       188, 10020.100,    0.005,       2.0627e-06,       2.0627e-06,     1.86e-05,       7.5082e-07,       7.5082e-07,     1.13e-05
       189, 10075.080,    0.005,       3.0183e-06,       3.0183e-06,     2.22e-05,       7.2114e-07,       7.2114e-07,      1.1e-05
       190, 10130.126,    0.005,       7.2393e-06,       7.2393e-06,     3.51e-05,       8.1762e-07,       8.1762e-07,      1.2e-05
       191, 10185.282,    0.005,        7.917e-06,        7.917e-06,     3.66e-05,       8.4328e-07,       8.4328e-07,     1.22e-05
       192, 10240.360,    0.005,       1.0985e-05,       1.0985e-05,     4.34e-05,       1.0109e-06,       1.0109e-06,     1.32e-05
       193, 10295.360,    0.005,       8.1825e-06,       8.1825e-06,     3.66e-05,       1.0505e-06,       1.0505e-06,     1.37e-05
       194, 10350.656,    0.005,       2.5759e-06,       2.5759e-06,     2.08e-05,       9.0177e-07,       9.0177e-07,     1.25e-05
       195, 10405.701,    0.005,       7.5517e-06,       7.5517e-06,     3.44e-05,       8.4849e-07,       8.4849e-07,     1.22e-05
       196, 10460.956,    0.005,       1.0429e-05,       1.0429e-05,     4.15e-05,       9.9888e-07,       9.9888e-07,     1.33e-05
       197, 10516.168,    0.005,       5.9597e-06,       5.9597e-06,     3.12e-05,       1.1004e-06,       1.1004e-06,      1.4e-05
       198, 10570.944,    0.005,       3.1901e-06,       3.1901e-06,     2.31e-05,        9.307e-07,        9.307e-07,      1.3e-05
       199, 10626.044,    0.005,       1.8165e-06,       1.8165e-06,     1.72e-05,       8.7974e-07,       8.7974e-07,     1.24e-05
       200, 10681.258,    0.005,       1.6626e-06,       1.6626e-06,     1.72e-05,       8.0128e-07,       8.0128e-07,     1.17e-05
       201, 10736.355,    0.005,       1.3435e-06,       1.3435e-06,     1.52e-05,       7.1499e-07,       7.1499e-07,     1.11e-05
       202, 10791.420,    0.005,       1.3887e-06,       1.3887e-06,     1.49e-05,       6.5793e-07,       6.5793e-07,     1.07e-05
       203, 10846.617,    0.005,       2.0736e-06,       2.0736e-06,     1.83e-05,       6.6468e-07,       6.6468e-07,     1.08e-05
       204, 10901.494,    0.005,        2.464e-06,        2.464e-06,     2.03e-05,       6.2257e-07,       6.2257e-07,     1.04e-05
       205, 10956.591,    0.005,       4.7788e-06,       4.7788e-06,     2.81e-05,       6.3711e-07,       6.3711e-07,     1.04e-05
       206, 11011.823,    0.005,       7.3429e-06,       7.3429e-06,     3.44e-05,       6.6844e-07,       6.6844e-07,     1.07e-05
       207, 11066.859,    0.005,       2.6153e-06,       2.6153e-06,     2.08e-05,       6.8139e-07,       6.8139e-07,     1.06e-05
       208, 11121.920,    0.005,       1.8972e-06,       1.8972e-06,      1.8e-05,       6.4688e-07,       6.4688e-07,     1.05e-05
       209, 11176.842,    0.005,       1.4661e-06,       1.4661e-06,     1.59e-05,       6.2337e-07,       6.2337e-07,     1.03e-05
