epoch, batch, loss, loss_f, loss_e, f_mae, f_rmse, H_f_mae, C_f_mae, psavg_f_mae, H_f_rmse, C_f_rmse, psavg_f_rmse, e_mae, e/N_mae
    2,    10,          0.17004,          0.16508,        0.0049506,           9.3306,           12.442,           7.3113,           11.638,           9.4749,           9.2183,           15.316,           12.267,           32.166,           2.1444
    2,    11,          0.19815,           0.1862,         0.011955,           10.309,           13.213,           7.5552,           13.457,           10.506,           9.4213,           16.513,           12.967,           50.188,           3.3458
    2,    12,          0.17941,          0.16224,         0.017176,           9.1263,           12.334,            6.892,            11.68,           9.2859,           8.8614,            15.37,           12.116,           59.931,           3.9954
    2,    13,          0.17279,          0.15522,         0.017563,           9.3113,           12.064,           6.2747,           12.782,           9.5282,           7.7579,           15.592,           11.675,           60.803,           4.0535
    2,    14,          0.18638,          0.17209,         0.014288,           9.3218,           12.703,           6.1622,           12.933,           9.5475,           7.6314,            16.71,           12.171,            54.75,             3.65
    2,    15,          0.12558,          0.11966,        0.0059137,           7.7755,           10.593,           4.8846,           11.079,            7.982,           5.9587,           14.137,           10.048,           35.203,           2.3469
    2,    16,          0.12292,          0.12173,        0.0011911,           7.5301,           10.683,           4.6684,           10.801,           7.7345,           6.3333,           14.097,           10.215,           15.641,           1.0427
    2,    17,           0.1256,          0.12558,       1.8592e-05,           7.9809,           10.851,           5.0365,           11.346,           8.1913,           6.3358,           14.368,           10.352,           1.5187,          0.10125
    2,    18,          0.17571,           0.1747,        0.0010108,           9.8836,           12.799,           6.2961,           13.984,            10.14,           7.9868,           16.677,           12.332,           14.147,          0.94313
    2,    19,          0.13885,          0.13524,        0.0036068,           8.4644,           11.261,           5.5891,            11.75,           8.6698,           7.4302,           14.444,           10.937,           27.331,           1.8221
    2,    20,          0.13474,          0.12957,        0.0051715,            8.309,           11.022,           5.3588,           11.681,           8.5198,           6.7367,           14.439,           10.588,               33,              2.2
    3,     1,          0.21271,          0.20935,        0.0033586,           10.094,           14.011,           6.1287,           14.625,           10.377,           7.9972,           18.643,            13.32,           26.022,           1.7348
    3,     2,          0.13556,          0.13407,        0.0014929,           8.2424,           11.212,           5.5317,            11.34,            8.436,           7.2152,           14.487,           10.851,           17.212,           1.1475
